"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","777696","777696","100","15"
"py","55969","47690","85.21","682"
"md","30692","10749","35.02","761"
"ps1","19438","19432","99.97","65"
"json","19377","3417","17.63","122"
"ipynb","14565","9506","65.27","53"
"kql","4634","4557","98.34","110"
"yml","3825","1227","32.08","205"
"gitignore","1894","45","2.38","13"
"sh","565","495","87.61","23"
"bicep","523","420","80.31","25"
"txt","300","90","30","64"
"dockerignore","282","282","100","3"
"platform","254","192","75.59","59"
"ps1}","231","3","1.3","6"
"other","210","63","30","10"
"flake8","161","161","100","7"
"yaml","148","96","64.86","34"
"github/codeowners","84","21","25","14"
"devcontainer/dockerfile","16","0","0","4"
"png","3","3","100","252"
"py}","3","0","0","3"
