"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","777696","777696","100","15"
"py","56301","47690","84.71","724"
"md","31495","10749","34.13","775"
"ps1","19438","19432","99.97","65"
"json","19391","3417","17.62","126"
"ipynb","14565","9506","65.27","53"
"kql","4634","4557","98.34","110"
"yml","4096","1227","29.96","212"
"gitignore","1894","45","2.38","13"
"bicep","850","420","49.41","47"
"sh","565","495","87.61","23"
"txt","300","90","30","64"
"dockerignore","282","282","100","3"
"platform","254","192","75.59","59"
"ps1}","231","3","1.3","6"
"other","210","63","30","10"
"flake8","161","161","100","7"
"yaml","149","96","64.43","35"
"github/codeowners","84","21","25","14"
"devcontainer/dockerfile","16","0","0","4"
"py}","3","0","0","3"
"png","3","3","100","254"
