"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","1036928","1036928","100","20"
"py","70789","60152","84.97","906"
"md","38067","13784","36.21","916"
"ps1","24248","24240","99.97","80"
"json","22840","4556","19.95","154"
"ipynb","16647","10864","65.26","61"
"kql","6164","6076","98.57","144"
"yml","5238","1616","30.85","264"
"gitignore","2412","60","2.49","16"
"bicep","1324","560","42.3","74"
"sh","748","660","88.24","28"
"dockerignore","376","376","100","4"
"txt","360","120","33.33","76"
"platform","313","240","76.68","70"
"ps1}","308","4","1.3","8"
"other","252","84","33.33","12"
"yaml","194","128","65.98","44"
"flake8","184","184","100","8"
"github/codeowners","96","24","25","16"
"devcontainer/dockerfile","20","0","0","5"
"py}","4","0","0","4"
"png","4","4","100","310"
