"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Doc Gen","dev","92","17","75","80792","67992","12800","84.16","0","2","6","8","1","13"
"BYOCC","dev","58","7","51","53663","11690","41973","21.78","0","5","1","0","1","8"
"MACAE v4","main","138","4","134","63215","8345","54870","13.2","0","2","1","0","1","19"
"Deploy your AI application","main","14","0","14","15593",,"15593","0","0","0","0","0","0","5"
"RTI","main","125","7","118","12456","5650","6806","45.36","0","0","3","2","2","7"
"Code Modernization","dev","50","1","49","4736","165","4571","3.48","0","0","0","1","0","10"
"Fabric SQL","dev","50","6","44","5311","2227","3084","41.93","0","3","1","0","2","9"
"Content Processing","dev","44","0","44","5771",,"5771","0","0","0","0","0","0","11"
"CWYD","dev","5","2","3","201","132","69","65.67","0","2","0","0","0","4"
"DKM","dev","17","0","17","1834",,"1834","0","0","0","0","0","0","6"
"Container Migration","dev","47","0","47","2171",,"2171","0","0","0","0","0","0","8"
"MAAG","dev","18","0","18","1157",,"1157","0","0","0","0","0","0","3"
"BYOC","dev","9","2","7","1138","2","1136","0.18","2","0","0","0","0","4"
