"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","162505","71909","44.25","114"
"ps1","133966","12296","9.18","1036"
"md","46684","1263","2.71","704"
"sh","16535","159","0.96","328"
"bicep","7222","780","10.8","440"
"bicepparam","2296","90","3.92","55"
"yaml","1968","66","3.35","80"
"yml","1691","0","0","87"
"py","1279","396","30.96","131"
"gitignore","1168","1","0.09","40"
"sample","594","0","0","18"
"other","270","0","0","42"
"txt","90","12","13.33","93"
"env","84","0","0","24"
"gitmodules","39","0","0","15"
"devcontainer/dockerfile","36","0","0","9"
"github/codeowners","23","0","0","19"
"md}","15","0","0","9"
