"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Doc Gen","main","1535","5","1530","253373","43350","210023","17.11","0","1","0","2","2","60"
"RTI","main","182","2","180","292927","577","292350","0.2","0","0","1","0","1","15"
"MAAG","main","218","3","215","168444","3","168441","0","3","0","0","0","0","23"
"BYOCC","main","190","1","189","235481","87","235394","0.04","0","0","1","0","0","19"
"MACAE v4","main","3633","30","3603","801525","25497","776028","3.18","3","4","8","7","8","56"
"Content Processing","main","835","6","829","321155","74191","246964","23.1","5","1","0","0","0","44"
"Deploy your AI application","main","415","0","415","260978",,"260978","0","0","0","0","0","0","20"
"Code Modernization","main","945","9","936","151630","33126","118504","21.85","3","1","0","3","2","51"
"CWYD","main","1071","22","1049","421420","146094","275326","34.67","15","1","2","2","2","70"
"Container Migration","main","312","4","308","229805","82822","146983","36.04","3","0","1","0","0","27"
"BYOC","main","1092","14","1078","265608","52248","213360","19.67","10","1","1","2","0","54"
"Fabric SQL","main","395","2","393","138641","61210","77431","44.15","0","0","0","1","1","23"
"DKM","main","836","1","835","217973","80733","137240","37.04","0","1","0","0","0","42"
