"Extension","TotalLines","AILines","AIPercentage","FileCount"
"ps1","75165","4014","5.34","632"
"json","45491","0","0","61"
"md","26176","392","1.5","363"
"sh","9630","0","0","186"
"bicep","3461","21","0.61","231"
"bicepparam","1163","30","2.58","24"
"yaml","1128","8","0.71","47"
"yml","811","0","0","43"
"gitignore","680","0","0","22"
"py","502","0","0","73"
"sample","348","0","0","12"
"other","156","0","0","23"
"env","49","0","0","14"
"txt","45","0","0","52"
"devcontainer/dockerfile","28","0","0","7"
"gitmodules","22","0","0","8"
"github/codeowners","10","0","0","10"
"md}","5","0","0","3"
