"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","777696","777696","100","15"
"py","55606","47690","85.76","675"
"md","30677","10749","35.04","757"
"ps1","19438","19432","99.97","65"
"json","19344","3417","17.66","117"
"ipynb","14562","9506","65.28","52"
"kql","4634","4557","98.34","110"
"yml","3709","1227","33.08","192"
"gitignore","1894","45","2.38","13"
"sh","565","495","87.61","23"
"bicep","517","420","81.24","23"
"txt","300","90","30","64"
"dockerignore","282","282","100","3"
"platform","249","192","77.11","57"
"ps1}","231","3","1.3","6"
"other","210","63","30","10"
"flake8","161","161","100","7"
"yaml","147","96","65.31","33"
"github/codeowners","84","21","25","14"
"devcontainer/dockerfile","12","0","0","3"
"png","3","3","100","250"
"py}","3","0","0","3"
